fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,16,KERALA,1605,MALAPPURAM,223008,745.893022020105,5,7,0,1088,2,17354,20890,5400,57567,878,5528,4.74471,160.5617623,3846,4262,133701,217252,0,421147,607236,18442,155.8170523,16864,69,41.7,3.33,100,NA
2025-2026,April,16,KERALA,1607,THRISSUR,182903,342.2177776921,4,28,0,418,10,13704,51874,17304,46550,459,2429,8.3568,185.87885,11804,12198,142491,188207,0,353730,433376,14122,177.52205,45934,49,44.59,7.67,100,NA
2025-2026,April,16,KERALA,1609,IDUKKI,208087,1520.66009995582,5,2,0,906,4,11196,18108,2610,27165,3620,24228,23.14991,298.5110409,3310,3744,124134,227099,0,214266,367283,12102,275.3611309,14369,34,37.69,5.8,100,NA
2025-2026,April,16,KERALA,1601,KASARGOD,173556,0,0,0,0,47,31,12414,0,0,9532,0,23705,0,6.13036,0,0,99295,153521,0,172507,248630,12461,6.13036,0,51,0,0,0,NA
2025-2026,April,16,KERALA,1614,THIRUVANANTHAPURAM,511857,0,0,0,0,60,72,22633,0,0,56300,0,7789,3.89502,4.11537,0,0,215245,328024,0,397975,567318,22693,0.22035,0,49,42.27,0,0,NA
2025-2026,April,16,KERALA,1610,KOTTAYAM,135844,240161.484848485,2,0,0,53,44,9447,33,2,18614,0,4142,2.71022,81.96351,12,17,78375,119789,0,210317,294416,9500,79.25329,23,54,49.72,19.59,100,NA
2025-2026,April,16,KERALA,1602,KANNUR,220557,338.377138062648,5,6,0,312,17,14285,30392,1137,7971,1295,13421,3.60738,106.4469598,6023,6288,119246,176787,0,267614,369336,14597,102.8395798,28125,40,52.8,26.45,100,NA
2025-2026,April,16,KERALA,1603,WAYANAD,163214,2598.31720601066,5,3,3.7985,334,0,8099,10315,694,6440,4822,47035,4.05543,275.8703498,2027,2241,80768,139679,0,158220,260574,8433,268.0164198,8555,42,31.36,24.5,100,NA
2025-2026,April,16,KERALA,1614,THIRUVANANTHAPURAM,511857,452.827321483712,4,5,0,491,29,22460,51816,6425,56328,879,7789,3.89502,238.5320249,10738,11612,215311,328199,0,398481,568119,22951,234.6370049,42956,49,56.56,19.45,100,NA
2025-2026,April,16,KERALA,1614,THIRUVANANTHAPURAM,511857,3804.11336633663,2,0,0,254,50,22464,1010,89,56307,0,7789,3.89502,42.316565,360,380,215248,328074,0,398199,567675,22718,38.421545,804,48,48.55,18.81,100,NA
2025-2026,April,16,KERALA,1602,KANNUR,220557,770392.495,1,0,0,80,44,14193,4,0,7971,0,13417,3.60738,34.4230798,3,3,119116,176594,0,267464,369134,14273,30.8156998,4,40,80.89,0,0,NA
