fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,36,TELANGANA,3642,Suryapet,3082872,257.072260682421,20,3577,622.513019458,2722,11,21656,2779988,554371,84705,562969,78338,349.71819,8118.80920775801,133324,224411,178642,411086,17,291266,633489,24378,7146.57799830001,1703522,19,57.12,59.11,100.03,NA
2025-2026,Aug,36,TELANGANA,3615,Vikarabad,3005994,278.575525931554,36,1541,4700.837735926,2234,19,24457,3349645,963170,76360,442550,37539,502.39226,14534.521171516,91388,152759,128018,277571,170,192471,392086,26691,9331.29117558999,1897135,54,86.4,94.1,100.07,NA
2025-2026,Aug,36,TELANGANA,3628,Jayashanker Bhopalapally,1228592,244.260203900984,20,548,168.8800868,668,7,7410,677829,163166,40755,100203,18201,211.08517,2035.6317543,32843,51384,70978,166720,6,113421,251830,8078,1655.6664975,374492,16,37.02,56.76,102.52,NA
2025-2026,Aug,36,TELANGANA,3630,Bhadradri Kothagudem,2379157,252.866284187126,29,804,2613.576475667,1211,0,17643,2355631,239852,34586,1429082,178797,424.28094,8994.45399452703,80081,121079,131208,291727,216,222891,457925,18854,5956.59657886003,1449887,49,53.66,72.16,100.09,NA
2025-2026,Aug,36,TELANGANA,3635,Nagarkurnool,1822257,252.325445521189,23,769,1168.951899931,2693,6,15556,1349644,402385,60470,229574,36474,435.20173,5009.648865881,58605,84397,106070,220854,75,204876,395291,18249,3405.49523595,880200,32,76.64,81.95,100.13,NA
2025-2026,Aug,36,TELANGANA,3636,Nirmal,2714572,255.592845083259,28,1048,2216.640334012,1580,4,14254,2398798,458709,51772,621057,48047,369.80747,8717.60386001233,84306,133678,129640,261444,289,184617,346135,15834,6131.15605600033,1444199,28,19.04,80.72,100.06,NA
2025-2026,Aug,36,TELANGANA,3644,Yadadri Bhuvanagiri,1338829,275.561181632582,24,1052,1732.787475321,1304,8,14098,1461109,298286,38195,181840,18799,422.92474,6181.961440661,60027,76719,89709,178932,18,157652,292167,15402,4026.24922534,1150951,43,77.84,92.67,100.01,NA
2025-2026,Aug,36,TELANGANA,3614,Mahabubnagar,1506768,249.008543052588,27,436,1601.848055426,2633,1,11540,1264953,177213,24909,219035,23124,378.22158,5129.910671026,45180,59713,81359,149255,41,139129,227911,14173,3149.8410356,883652,28,45.65,77.81,100.01,NA
2025-2026,Aug,36,TELANGANA,3617,Medak,2085222,263.209129029275,27,939,2189.967979687,876,24,12811,1860694,315365,47380,314200,32751,415.33814,7502.82259098698,68122,109912,113483,246473,66,172805,346816,13687,4897.51647129998,1094699,19,42.98,87.29,100.08,NA
2025-2026,Aug,36,TELANGANA,3618,Nizamabad,2674546,261.364679180227,20,1261,1862.291604146,1071,16,15750,1415904,287770,67180,290186,48318,522.86975,6085.83430124601,70723,92072,158893,311252,18,267999,502333,16821,3700.67294710001,943755,8,37.65,73.37,100.07,NA
